,0
0,-0.25786805
1,-0.0757892
2,-0.2262647
3,-0.12080017
4,-0.20606768
5,-0.24813819
6,-0.17916298
7,-0.120559916
8,-0.048155308
9,0.028187072
10,0.12551983
11,0.0076699913
12,-0.045283902
13,0.053588547
14,0.29459152
15,0.26663232
16,0.24188404
17,0.11336394
18,-0.048797365
19,-0.37934875
20,-0.13723776
21,-0.11932682
22,0.1475147
23,-0.12360315
24,-0.29290926
25,0.09318507
26,0.09419022
27,-0.09428303
28,0.1269747
29,0.1477354
30,0.08980251
31,-0.050801076
32,-0.03409552
33,-0.016447734
34,0.008801127
35,0.053986788
36,-0.14865148
37,-0.20951301
38,0.10834302
39,0.39975083
40,-0.21044277
41,0.18455659
42,-0.07327109
43,-0.061510142
44,-0.09546685
45,0.11877406
46,-0.08453904
47,-0.07098556
48,-0.21635264
49,-0.2026374
50,-0.07976353
51,0.05707122
52,-0.22356375
53,-0.16584635
54,0.21583949
55,-0.27636066
56,-0.033989284
57,-0.26037893
58,-0.36168638
59,-0.13887663
60,0.13692182
61,-0.13237788
62,-0.062875174
63,-0.25844046
64,-0.18658333
65,-0.19794066
66,-0.24299546
67,0.18827862
68,0.08844787
69,0.4410283
70,-0.22341901
71,-0.22513974
72,-0.1927892
73,0.0977105
74,-0.36569476
75,0.26938725
76,-0.010655356
77,-0.1504918
78,-0.15887259
79,0.19592586
80,0.42462748
81,-0.2456638
82,-0.03764943
83,0.23905912
84,-0.17563841
85,-0.1313642
86,-0.17415994
87,-0.29498228
88,-0.0708297
89,-0.0137707405
90,-0.24419363
91,0.12952992
92,-0.26051918
93,-0.18995413
94,-0.20707631
95,0.17658798
96,-0.047909927
97,-0.135409
98,-0.2619185
99,-0.21846512
100,-0.23760769
101,-0.11851571
102,0.047348592
103,-0.115632124
104,-0.24978547
105,-0.052973386
106,-0.17767009
107,0.1676529
108,-0.20722915
109,-0.02158132
110,0.18360217
111,-0.011462432
112,-0.2194771
113,-0.41151044
114,-0.24211998
115,-0.2051228
116,0.18123955
117,-0.2001084
118,0.387442
119,0.23130733
120,-0.13142252
121,-0.3563956
122,-0.15027179
123,-0.17624742
124,0.015378847
125,-0.3230674
126,-0.14217292
127,-0.25990334
