,0
0,102.3909
1,106.03235
2,99.52365
3,100.997406
4,101.73718
5,99.438484
6,104.20225
7,100.17398
8,101.62913
9,97.85652
10,98.55419
11,105.9917
12,99.88192
13,101.394394
14,101.48846
15,100.47774
16,103.259834
17,96.87085
18,106.620476
19,105.1922
20,102.656296
21,102.652084
22,101.426315
23,99.85972
24,106.4966
25,100.455765
26,98.68492
27,99.68452
28,103.88207
29,102.81224
30,100.2565
31,100.221985
32,99.749435
33,99.32756
34,100.36715
35,102.13035
36,101.48031
37,101.66996
38,105.01366
39,103.40693
40,101.82596
41,103.775536
42,105.220726
43,99.905846
44,102.20466
45,102.699585
46,106.05972
47,104.429695
48,105.82575
49,102.05534
50,98.59637
51,100.53281
52,104.02978
53,101.999916
54,101.13779
55,103.94047
56,99.94604
57,99.50885
58,100.31234
59,101.28873
60,102.361
61,103.12902
62,99.65965
63,102.18062
64,101.496376
65,101.6655
66,104.24002
67,98.57133
68,103.52287
69,104.44788
70,104.07688
71,104.13642
72,104.28873
73,103.342606
74,102.64751
75,101.977936
76,104.4055
77,100.438614
78,106.065216
79,100.248535
80,102.97049
81,97.42575
82,102.804794
83,100.53496
84,103.08367
85,104.534325
86,100.530365
87,102.61327
88,103.00089
89,100.14284
90,102.164055
91,101.52107
92,100.12848
93,100.21312
94,104.50711
95,100.022026
96,102.371895
97,99.098335
98,103.02843
99,100.81813
100,100.23419
101,103.645065
102,106.37009
103,102.35857
104,104.6974
105,101.4974
106,100.370476
107,100.38779
108,101.77208
109,100.51025
110,101.11115
111,102.04077
112,100.82678
113,103.97363
114,99.8988
115,105.442474
116,99.80316
117,102.273415
118,102.04599
119,101.93732
120,101.74117
121,102.294365
122,101.23665
123,99.88231
124,107.9146
125,102.32031
126,103.47037
127,100.368164
