,0
0,10.140454
1,9.740475
2,10.733633
3,9.675399
4,9.695866
5,9.748517
6,9.974066
7,8.359103
8,9.542405
9,10.267581
10,10.045354
11,9.414744
12,9.649737
13,10.72667
14,9.594543
15,10.673295
16,6.260624
17,10.822561
18,9.110404
19,10.656258
20,10.763043
21,8.930366
22,7.951059
23,10.059516
24,11.907006
25,10.165462
26,9.124214
27,10.577445
28,8.943085
29,8.170548
30,10.091818
31,9.757997
32,10.505008
33,10.633002
34,8.087067
35,8.167785
36,11.115738
37,10.322373
38,10.282963
39,7.8522425
40,8.984604
41,8.339609
42,9.704541
43,10.622191
44,8.842148
45,9.69468
46,10.376362
47,9.906775
48,7.761084
49,10.7445135
50,10.336672
51,9.159637
52,9.97403
53,9.27788
54,10.462718
55,10.23504
56,10.042758
57,10.278076
58,10.336833
59,9.867701
60,9.365844
61,9.526191
62,9.896514
63,8.526705
64,9.071817
65,10.622031
66,7.291325
67,8.855126
68,9.3826065
69,8.3737755
70,9.429976
71,9.052522
72,9.873595
73,9.445311
74,9.5832615
75,8.56043
76,11.219517
77,9.4930105
78,10.24178
79,8.810012
80,9.132252
81,10.438116
82,9.59997
83,10.412836
84,10.531444
85,8.925031
86,9.348553
87,10.183569
88,9.375366
89,10.277971
90,10.720947
91,9.744938
92,10.564038
93,9.487006
94,8.992547
95,8.573221
96,10.861945
97,11.016271
98,8.412251
99,9.006828
100,9.761074
101,8.311382
102,9.278764
103,8.4654455
104,10.395823
105,10.508654
106,8.391441
107,10.045954
108,9.314736
109,12.649339
110,8.295046
111,11.841705
112,10.725314
113,9.578532
114,10.149565
115,11.041514
116,9.504632
117,9.051585
118,9.258798
119,9.372959
120,10.046722
121,9.826512
122,10.176569
123,10.349856
124,9.388253
125,8.32455
126,9.584319
127,10.10139
