,0
0,0.09374875
1,-0.18014747
2,0.014168377
3,0.041039538
4,-0.06805187
5,0.055041924
6,-0.0076131476
7,-0.030180082
8,-0.11230206
9,-0.04908872
10,-0.14620247
11,-0.049644474
12,-0.048544213
13,0.016107384
14,-0.12952583
15,-0.09148884
16,-0.1072032
17,-0.038177498
18,-0.04462738
19,0.024637941
20,-0.069166966
21,-0.0032728317
22,-0.061480425
23,-0.12518854
24,-0.08975214
25,-0.14196219
26,-0.11171859
27,-0.06771477
28,-0.009128641
29,-0.16980596
30,-0.0064978185
31,-0.10830611
32,-0.046968184
33,-0.08733169
34,-0.042693984
35,-0.1255071
36,-0.14043792
37,-0.02600536
38,0.05800502
39,-0.15336365
40,0.015003824
41,-0.14793848
42,-0.060415532
43,-0.057487447
44,-0.14201112
45,-0.030623669
46,-0.06373934
47,-0.15878053
48,-0.022622576
49,-0.045396112
50,0.039532416
51,-0.027121715
52,-0.063170336
53,-0.047285907
54,-0.0393242
55,-0.05721297
56,-0.016239215
57,-0.036051158
58,-0.11735071
59,0.08593226
60,-0.04411215
61,-0.09767884
62,-0.06814112
63,0.0009337466
64,-0.0534762
65,0.018461823
66,0.023021959
67,-0.062191196
68,-0.067697756
69,-0.15799405
70,-0.1919697
71,-0.07362324
72,-0.109204344
73,0.10088119
74,-0.044552512
75,-0.2046658
76,-0.027280327
77,-0.11968808
78,0.055205327
79,-0.053774066
80,-0.0970637
81,-0.08717
82,-0.09380871
83,-0.044280745
84,-0.037134804
85,-0.020022176
86,-0.14749464
87,-0.09578974
88,0.019136198
89,0.051775146
90,-0.011781264
91,-0.06072128
92,-0.16176417
93,-0.04088573
94,-0.0354866
95,-0.011155066
96,-0.039187513
97,-0.11786719
98,0.026866794
99,-0.088566005
100,-0.12070693
101,0.00061354233
102,-0.08146189
103,-0.16457526
104,-0.047358826
105,0.0112874955
106,-0.042068783
107,-0.10252473
108,-0.014369705
109,-0.05941046
110,-0.100268506
111,-0.019842623
112,-0.237055
113,-0.10776531
114,-0.12426436
115,-0.035588093
116,-0.044243533
117,-0.07684987
118,-0.108608596
119,0.03939418
120,-0.19000262
121,-0.11029487
122,-0.03740724
123,0.003643489
124,-0.059655476
125,-0.15127265
126,0.060351834
127,-0.01717665
