,0
0,24.907482
1,25.387087
2,24.918407
3,25.013271
4,24.633577
5,25.134623
6,24.938711
7,24.923784
8,25.112738
9,24.893995
10,24.96006
11,25.158525
12,24.937477
13,24.806856
14,24.963001
15,25.009026
16,24.854576
17,24.874058
18,25.96997
19,25.011335
20,24.888775
21,24.954613
22,24.752028
23,24.869465
24,25.507246
25,25.134762
26,25.301966
27,25.005056
28,25.296034
29,24.948383
30,25.334688
31,24.952833
32,25.669802
33,24.942635
34,24.86663
35,25.174309
36,25.339367
37,24.94615
38,24.887072
39,25.160656
40,25.000023
41,25.256155
42,24.93615
43,25.441332
44,25.824778
45,25.29042
46,24.939333
47,25.097162
48,25.260134
49,24.943121
50,24.97215
51,25.306707
52,24.973827
53,24.923594
54,24.65728
55,24.943897
56,25.584929
57,25.068388
58,26.376509
59,24.792759
60,24.897068
61,25.435595
62,24.91344
63,24.949213
64,26.523954
65,24.88561
66,25.099024
67,25.25234
68,24.930292
69,24.945698
70,24.891504
71,24.974945
72,25.680153
73,24.606981
74,24.832893
75,25.110767
76,24.913555
77,24.956163
78,26.475971
79,25.451345
80,24.942636
81,25.468594
82,25.692392
83,24.95198
84,25.321981
85,24.976135
86,26.769909
87,26.093115
88,26.262432
89,25.575983
90,24.782583
91,24.966688
92,24.631565
93,25.27027
94,24.685972
95,24.900417
96,25.137398
97,26.163147
98,24.86781
99,25.196272
100,25.041264
101,24.779402
102,24.944178
103,24.804024
104,25.661938
105,25.163378
106,25.68867
107,24.938902
108,25.076582
109,24.931583
110,26.328173
111,25.000795
112,25.534584
113,24.889238
114,25.347101
115,24.87562
116,24.825619
117,24.788933
118,24.79516
119,24.95883
120,24.790936
121,24.952185
122,24.970665
123,24.793335
124,24.297165
125,24.866938
126,25.645945
127,24.763208
