,0
0,3.9627485
1,3.7519345
2,4.0173616
3,4.331438
4,3.869068
5,4.401674
6,3.9955952
7,3.982395
8,4.0862756
9,3.9835665
10,4.361658
11,3.9396937
12,3.9644952
13,4.3198547
14,4.0166664
15,3.9690783
16,4.101229
17,3.9454017
18,3.8131223
19,4.4505186
20,4.397634
21,3.8023
22,3.9173539
23,3.8843844
24,4.373877
25,4.0372896
26,4.144956
27,3.9925017
28,3.5565727
29,4.0433865
30,3.9749355
31,4.0835133
32,4.1945257
33,3.9705417
34,3.8844478
35,4.157679
36,3.8425045
37,3.7398367
38,4.30808
39,3.9080343
40,4.160916
41,3.9872591
42,3.5931642
43,3.5422266
44,4.5764136
45,4.1065974
46,3.9614668
47,4.01748
48,4.0363574
49,3.9739652
50,4.142208
51,4.9988627
52,3.9765904
53,3.9978018
54,3.9899683
55,3.9682693
56,3.8599913
57,4.0055223
58,5.035675
59,4.2613697
60,4.22269
61,3.4652367
62,4.42814
63,3.8496363
64,4.2140503
65,3.7844014
66,4.881872
67,3.9314494
68,3.822712
69,4.1014485
70,4.0044928
71,4.2181153
72,3.7756007
73,4.3904395
74,4.0401692
75,3.9295657
76,4.026209
77,4.165566
78,5.2294254
79,4.2342157
80,4.052763
81,4.159087
82,4.014827
83,3.7837152
84,4.373189
85,4.0731983
86,5.32194
87,4.421649
88,4.703952
89,3.37283
90,4.0745296
91,3.9542959
92,4.0294404
93,4.2481017
94,4.0292683
95,4.484632
96,4.1393657
97,4.639983
98,3.998877
99,4.0185895
100,3.82588
101,4.2557974
102,3.9854858
103,3.874424
104,3.6247606
105,4.3614354
106,3.9925241
107,4.100785
108,3.9653425
109,4.364307
110,4.3101254
111,3.770863
112,3.7794936
113,4.0952697
114,4.26678
115,4.178726
116,3.9609187
117,4.0139766
118,4.120218
119,3.9485095
120,4.3202624
121,4.127274
122,3.9904103
123,4.1804166
124,4.27974
125,4.004878
126,3.8256073
127,4.1853228
