,0
0,99.926155
1,99.93838
2,99.953835
3,99.95701
4,99.974106
5,99.91956
6,99.957184
7,99.92086
8,99.78783
9,100.09329
10,100.10235
11,99.91887
12,99.95559
13,99.91386
14,99.93803
15,100.07743
16,99.927765
17,99.86606
18,100.047745
19,99.93776
20,99.90799
21,100.00514
22,99.94404
23,100.15467
24,100.0637
25,99.95027
26,100.01877
27,100.0451
28,99.99673
29,99.971565
30,100.11394
31,99.93046
32,100.0949
33,99.957146
34,100.10752
35,99.94863
36,100.011055
37,100.21129
38,100.03872
39,99.99012
40,99.93894
41,99.979256
42,99.90447
43,99.80831
44,99.9429
45,99.78024
46,100.33044
47,100.01903
48,99.94325
49,100.01135
50,99.985725
51,99.85683
52,99.90494
53,99.95733
54,100.33862
55,99.7213
56,99.94816
57,99.939735
58,99.95158
59,99.95353
60,100.00106
61,99.95119
62,100.19113
63,100.04752
64,99.99607
65,100.02214
66,100.02521
67,100.09314
68,99.970474
69,99.96771
70,99.90866
71,99.93628
72,99.93017
73,99.95596
74,99.945274
75,99.92806
76,100.016975
77,99.99555
78,99.91563
79,99.950905
80,100.12346
81,100.04005
82,99.91847
83,99.77968
84,99.78768
85,100.0877
86,99.94308
87,99.95099
88,99.92122
89,99.97675
90,99.94834
91,100.09307
92,100.046036
93,99.93595
94,99.95266
95,99.89546
96,100.03536
97,99.970955
98,100.07886
99,99.9553
100,100.43561
101,99.95706
102,99.86064
103,99.99451
104,100.076515
105,99.95122
106,99.954384
107,99.77337
108,99.93627
109,99.92532
110,99.99123
111,99.93887
112,99.93133
113,100.03071
114,100.04279
115,100.08953
116,99.94443
117,99.93911
118,99.81613
119,99.90665
120,99.94276
121,99.94079
122,99.97033
123,99.97228
124,99.921715
125,99.90801
126,99.8857
127,100.07388
128,100.05184
129,99.93504
130,99.73495
131,100.058044
132,100.08384
133,99.91579
134,99.93971
135,99.9267
136,100.33337
137,99.9451
138,99.93908
139,100.242355
140,99.938126
141,100.05908
142,100.00899
143,99.94222
144,99.95927
145,99.94417
146,100.09299
147,99.94837
148,99.935684
149,99.824135
150,100.06498
151,99.93204
152,99.94459
153,99.971085
154,100.04667
155,99.96571
156,99.96912
157,99.9438
158,99.89866
159,99.96569
160,99.93628
161,100.047165
162,99.99889
163,100.06664
164,100.32744
165,99.95396
166,99.95629
167,99.96391
168,100.05078
169,100.01484
170,99.9459
171,100.0836
172,99.921616
173,99.94421
174,99.94955
175,99.95266
176,99.97424
177,99.98447
178,100.035965
179,99.877464
180,100.196495
181,99.95316
182,99.93633
183,100.07093
184,99.77694
185,99.934494
186,99.95026
187,99.9703
188,100.07873
189,100.027145
190,100.011604
191,100.085526
192,99.97296
193,100.00597
194,99.91685
195,99.91671
196,99.94391
197,100.06617
198,99.955765
199,99.93848
200,99.94855
201,99.93699
202,99.957825
203,100.06031
204,99.93293
205,100.06109
206,99.971085
207,99.96402
208,99.934555
209,99.87722
210,99.9461
211,99.939384
212,100.254944
213,99.94184
214,99.94754
215,99.95026
216,99.95026
217,99.922356
218,100.05094
219,100.223694
220,100.08877
221,99.94866
222,100.037575
223,99.979706
224,100.0497
225,99.81136
226,99.93257
227,99.95271
228,99.92907
229,99.96247
230,99.86399
231,99.93989
232,99.943
233,99.92448
234,99.93768
235,99.93735
236,99.75927
237,99.97895
238,100.04676
239,100.16733
240,99.91375
241,99.95077
242,99.94025
243,99.94845
244,99.87517
245,99.93544
246,100.16364
247,99.95539
248,99.94971
249,100.01096
250,99.94793
251,99.95587
252,100.00766
253,100.033966
254,99.979706
255,99.964806
