,0
0,9.6667795
1,9.762806
2,10.10224
3,9.572349
4,9.999939
5,10.085519
6,9.597093
7,9.857549
8,10.192866
9,9.976932
10,9.970723
11,10.015809
12,9.891286
13,9.566184
14,9.914814
15,10.005765
16,10.063613
17,9.962705
18,9.682629
19,10.012855
20,9.867315
21,9.990737
22,9.67502
23,9.98502
24,9.936857
25,9.517921
26,10.116108
27,9.9695835
28,10.231461
29,9.970119
30,10.098329
31,10.187193
32,10.078817
33,9.927972
34,9.924273
35,10.024341
36,9.217165
37,9.773281
38,9.760485
39,9.569555
40,10.025885
41,10.0664835
42,10.116992
43,10.091604
44,9.981883
45,9.938702
46,10.058655
47,9.73225
48,9.995958
49,9.971035
50,10.444345
51,9.948883
52,10.157054
53,9.930327
54,9.889681
55,10.297508
56,10.130041
57,9.868777
58,9.150642
59,10.073332
60,9.952844
61,10.124975
62,9.91198
63,9.274988
64,9.860503
65,9.830894
66,9.595952
67,9.915598
68,10.00394
69,9.989947
70,10.04669
71,9.901143
72,9.903288
73,9.390758
74,9.516979
75,10.274938
76,9.909563
77,9.78293
78,10.165994
79,9.913658
80,10.05359
81,10.000618
82,10.077116
83,9.929669
84,9.98109
85,10.140672
86,10.1459875
87,9.9105215
88,10.03515
89,9.847995
90,9.731817
91,9.907077
92,9.882168
93,9.973969
94,9.03755
95,10.048238
96,9.811503
97,9.782873
98,10.002296
99,10.023112
100,10.128072
101,9.981933
102,9.502663
103,10.083073
104,10.030662
105,9.727063
106,10.106306
107,9.859415
108,9.922592
109,9.973378
110,9.897458
111,9.923175
112,9.578995
113,9.477761
114,10.006222
115,10.039283
116,9.623305
117,10.087828
118,9.938991
119,10.184935
120,9.909047
121,9.658887
122,9.916558
123,9.882278
124,9.036965
125,9.229541
126,10.120882
127,9.996874
128,10.146581
129,10.044385
130,9.841823
131,10.098709
132,9.91817
133,9.889682
134,10.000035
135,9.711676
136,9.895855
137,9.704951
138,10.241637
139,9.5294485
140,10.067783
141,9.238057
142,9.502292
143,10.076441
144,10.272846
145,9.889905
146,9.993889
147,10.021663
148,9.768866
149,9.991253
150,9.976372
151,10.134644
152,9.938146
153,10.176127
154,9.710453
155,10.091664
156,10.048889
157,9.557166
158,10.115508
159,9.689234
160,9.499854
161,9.937346
162,9.904054
163,9.544294
164,9.373118
165,9.806884
166,10.04348
167,9.926923
168,9.927292
169,10.063522
170,9.7509575
171,9.6755705
172,10.073627
173,9.856765
174,9.513757
175,9.767251
176,9.852376
177,10.107127
178,9.902283
179,10.074245
180,10.01329
181,10.160319
182,9.632426
183,10.176887
184,10.010887
185,10.096326
186,10.098443
187,10.069693
188,9.855006
189,9.956714
190,9.799629
191,9.891299
192,10.067111
193,9.943543
194,10.100096
195,10.168758
196,10.084513
197,9.961473
198,9.11998
199,10.214931
200,10.124228
201,9.563168
202,9.732286
203,10.035426
204,9.546493
205,9.627127
206,9.947975
207,10.003086
208,10.026574
209,9.91928
210,9.891498
211,10.077189
212,9.745204
213,9.900057
214,9.901626
215,9.915154
216,9.900161
217,10.124753
218,9.944789
219,10.168588
220,9.111701
221,9.865288
222,9.65693
223,9.9075365
224,10.1249075
225,9.493114
226,9.683472
227,10.108137
228,9.918788
229,9.8851385
230,9.674484
231,10.148705
232,9.670831
233,9.707124
234,9.993113
235,10.074516
236,10.13627
237,10.044554
238,9.630568
239,9.116042
240,9.864554
241,9.911029
242,9.923643
243,9.833895
244,9.578305
245,9.879373
246,10.064631
247,9.332957
248,10.071864
249,9.970753
250,9.908439
251,10.140544
252,10.069401
253,9.855261
254,9.812883
255,9.631116
