,0
0,-0.061721507
1,-0.0641502
2,-0.10912135
3,-0.0698145
4,0.005484792
5,0.18860205
6,-0.036739897
7,-0.22185178
8,-0.20767878
9,-0.044056643
10,-0.17825218
11,-0.105611265
12,-0.1675373
13,-0.1959631
14,0.085618414
15,-0.040316757
16,-0.03537435
17,-0.0048004906
18,-0.13064912
19,-0.10262074
20,0.08178076
21,-0.15053035
22,-0.17289503
23,-0.10058458
24,-0.10985597
25,-0.2333906
26,-0.07483081
27,-0.035369113
28,-0.20206004
29,-0.07670592
30,0.21944724
31,-0.053641126
32,-0.011806196
33,0.108088724
34,-0.2705511
35,0.10888984
36,-0.11596764
37,-0.0870406
38,0.040946677
39,-0.07875787
40,-0.044661373
41,-0.0014653576
42,-0.07897379
43,-0.15518397
44,-0.17611834
45,-0.057812188
46,-0.109720066
47,-0.11872903
48,-0.11522206
49,-0.15882713
50,-0.043141007
51,0.048589665
52,0.2962224
53,0.040653914
54,0.040462743
55,-0.024875782
56,0.13990758
57,0.23938285
58,-0.008276861
59,-0.12242782
60,-0.075265795
61,-0.17955667
62,0.45353484
63,0.23040204
64,-0.12592669
65,-0.029479412
66,-0.087818414
67,-0.14245288
68,-0.0683883
69,-0.13878345
70,-0.13585226
71,-0.083796605
72,0.018223876
73,0.0060532717
74,-0.06419986
75,0.22807002
76,0.06188522
77,0.04707142
78,0.046481054
79,-0.19681148
80,0.09963292
81,-0.077016786
82,-0.16108678
83,0.075992994
84,-0.08110405
85,-0.111800395
86,0.029239202
87,-0.1068987
88,0.45932132
89,0.08426948
90,-0.18772078
91,-0.1719586
92,-0.100032724
93,0.19004864
94,-0.09094217
95,-0.18947281
96,0.19289276
97,-0.013184078
98,-0.09372194
99,0.045318067
100,0.081310436
101,-0.056844033
102,-0.3889845
103,-0.21006466
104,-0.09083821
105,0.13083826
106,0.0954075
107,0.15344168
108,-0.13618124
109,-0.060132936
110,-0.039121687
111,-0.17836884
112,0.023620484
113,-0.18819433
114,0.2339446
115,-0.032837406
116,-0.09401811
117,-0.12658131
118,-0.13876928
119,0.15726694
120,-0.03345654
121,-0.07888083
122,-0.09302034
123,-0.1344109
124,-0.1475489
125,-0.023478925
126,0.19355178
127,-0.23868771
