,0
0,100.17958
1,100.13808
2,99.950966
3,99.91158
4,99.8483
5,100.49955
6,100.02918
7,100.17225
8,100.11356
9,100.26002
10,100.19526
11,100.21852
12,100.45383
13,100.096016
14,100.38345
15,99.79496
16,100.05565
17,100.15567
18,100.2601
19,100.21474
20,100.11323
21,100.18488
22,100.130875
23,99.87361
24,100.21123
25,99.876976
26,100.148415
27,99.63691
28,100.01438
29,99.810486
30,100.01489
31,100.177505
32,100.18616
33,100.015236
34,100.23967
35,99.93757
36,99.818695
37,99.97349
38,100.22102
39,99.76656
40,100.154396
41,100.31925
42,99.6889
43,100.019554
44,99.91278
45,99.931984
46,100.103905
47,100.27785
48,99.66081
49,99.97792
50,100.1178
51,100.32387
52,99.83397
53,100.092064
54,99.831566
55,100.190674
56,100.03393
57,99.94215
58,99.89263
59,99.890236
60,100.099365
61,99.8921
62,100.182106
63,100.23674
64,100.216896
65,100.11958
66,99.95598
67,100.22257
68,100.16949
69,99.79109
70,100.158195
71,100.13693
72,99.94586
73,100.244774
74,100.23314
75,100.20616
76,100.81428
77,100.010994
78,100.14553
79,100.10194
80,100.12517
81,99.99616
82,100.27308
83,100.476456
84,99.99343
85,100.18239
86,100.12959
87,99.92163
88,100.223434
89,100.067
90,99.93652
91,99.98336
92,100.08965
93,100.16752
94,100.077576
95,100.93579
96,99.879135
97,99.94179
98,100.51615
99,100.162636
100,100.26127
101,100.29445
102,100.13589
103,100.197464
104,100.162186
105,100.38757
106,100.18203
107,100.21537
108,100.112755
109,100.252014
110,99.91273
111,100.05801
112,99.93386
113,99.94137
114,100.150795
115,99.97342
116,100.112564
117,100.14141
118,100.14923
119,100.11383
120,100.00052
121,100.15759
122,99.83123
123,100.09881
124,100.059875
125,99.97154
126,100.69796
127,100.7146
