,0
0,9.883273
1,10.143095
2,10.281926
3,10.3158245
4,9.941694
5,9.97743
6,10.2350645
7,9.951697
8,9.944312
9,10.072067
10,9.906606
11,9.946513
12,9.615308
13,10.216121
14,10.318685
15,10.221917
16,10.138506
17,10.077445
18,10.062411
19,9.342429
20,9.463445
21,10.043212
22,9.523534
23,10.150338
24,9.8699665
25,10.126743
26,9.88049
27,10.043139
28,10.05425
29,10.31232
30,10.133189
31,10.136853
32,9.849037
33,10.188016
34,10.097949
35,10.398202
36,10.301271
37,10.064258
38,9.852675
39,9.739981
40,10.070616
41,9.888059
42,10.107303
43,10.032801
44,10.057392
45,10.246954
46,9.994789
47,10.012276
48,10.056041
49,9.900569
50,9.971694
51,9.956064
52,9.550157
53,9.937393
54,10.229518
55,10.064522
56,9.977727
57,9.800274
58,10.0936
59,10.008585
60,10.045143
61,10.0449095
62,10.133257
63,9.307889
64,10.100981
65,10.06138
66,10.335306
67,9.898353
68,10.222728
69,9.863902
70,10.172836
71,10.140921
72,10.020866
73,10.280415
74,9.906986
75,9.968646
76,10.039109
77,9.741499
78,10.102276
79,10.277397
80,10.052014
81,10.068412
82,9.897164
83,9.690312
84,10.117252
85,10.079823
86,9.319682
87,9.971169
88,10.026554
89,10.151066
90,9.918299
91,9.937823
92,10.0629835
93,9.855668
94,10.016063
95,10.190414
96,10.031866
97,10.358477
98,10.154955
99,10.223924
100,10.0281515
101,9.825255
102,10.003415
103,9.804101
104,10.071019
105,10.0696745
106,10.114827
107,10.203434
108,10.015107
109,9.9836235
110,10.04454
111,10.723689
112,9.888174
113,10.282641
114,10.0343275
115,10.08872
116,10.273171
117,10.129349
118,9.952679
119,10.136078
120,10.344437
121,9.223298
122,10.245945
123,10.264997
124,9.7654
125,10.085718
126,10.250577
127,9.660097
